source_currency,USD,ALL,AMD,AUD,BIF,BRL,CAD,CDF,CHF,CLP,COP,CZK,DZD,EUR,GBP,GHS,GTQ,IDR,INR,ISK,JMD,JPY,KES,KRW,MUR,MXN,MZN,NIO,NOK,NZD,PEN,PHP,PLN,PYG,RSD,SEK,SGD,THB,TRY,TZS,UGX,UYU,ZAR,ZMW
USD,0.0,14.324568,35.948773,9871.0187,7.843237,17472.047027,158101.444267,38.213460000000005,14254.723659,7656.201558999999,11338.528921000001,1421.1099279999999,3913.1994350000004,124617.61700900001,30306.954841,456.771632,3080.563324,5786.422096,14042.976805000002,128.45371699999998,702.507282,57009.103915,221.885534,28530.79675,65.114081,122831.088523,108.73358,638.628681,2912.524639,1741.734754,4621.366863,3865.40024,1746.2361260000002,468.741331,48.790433,4169.18046,17271.184522,8085.724834,4791.250099,88.994095,28.024618999999998,381.503199,4013.51376,38.530328
ALL,14.324568,0.0,0.007925999999999999,0.6879930000000001,0.0,11.293191,12.973956999999999,0.0,10.130766000000001,0.16836800000000002,0.06979199999999999,9.467611999999999,1.976144,942.9701460000001,6.557207,0.0,0.141225,1.2951599999999999,5.889366000000001,0.07509,0.0,0.491327,0.001134,8.757403,0.0,0.225952,0.008348999999999999,0.0,0.30604600000000004,0.10917,0.000249,0.11759800000000001,10.389666,0.0,16.396334,3.329108,0.0059900000000000005,1.077924,91.801805,0.004017,0.000165,0.21688999999999997,0.064308,0.0
AMD,35.948773,0.007925999999999999,0.0,0.571724,0.0,9.293512999999999,19.497413,0.0,29.777171999999997,0.01302,0.484633,8.763764,0.0,289.469402,6.350501,0.0,0.0,1.283412,12.542093000000001,0.0,0.0,7.320332,0.0,5.7925070000000005,0.0,0.162,0.0,0.0,0.14695,4.896474,0.0,0.000772,10.663765,0.0,0.097464,10.857277,14.810886,2.5470740000000003,0.201357,0.024666,0.0,0.0,0.5641349999999999,0.089715
AUD,9871.0187,0.6879930000000001,0.571724,0.0,0.064695,458.84150999999997,884.81943,1.3238940000000001,1111.4807819999999,424.58506800000004,15.070454999999999,158.416699,10.090987,10295.919850999999,3040.322733,58.043906,6.548595,2172.596976,4165.679374,2.269714,2.344745,16874.981815,11.926879999999999,7491.443522,25.116575,543.196886,102.23432299999999,3.419987,104.36219600000001,3633.989415,55.69327800000001,556.254958,97.999777,0.5024869999999999,1.4744760000000001,573.8865890000001,5558.047273,3308.160566,238.547856,20.276582,1.3168549999999999,1.796863,631.5536569999999,6.641335000000001
BIF,7.843237,0.0,0.0,0.064695,0.0,0.288813,0.367606,1.142663,10.473436000000001,0.0,0.0,0.019779,0.0,34.386306,6.7026,0.0015990000000000002,0.0,0.043,7.0537149999999995,0.0,0.0,5.4518059999999995,15.694555,0.18846999999999997,0.390527,0.091,0.0008399999999999999,0.0,0.0,0.0,0.0,0.0,0.004487,0.0,0.0,0.059248999999999996,29.547833,0.24796999999999997,1.197835,14.775640000000001,11.065086,0.0,2.443606,6.834674
BRL,17472.047027,11.293191,9.293512999999999,458.84150999999997,0.288813,0.0,1240.95029,9.141490000000001,1363.793542,2026.054761,985.484403,116.316616,1185.311074,20699.345084,1893.1214909999999,70.296592,47.297157,571.067588,3149.83023,70.531785,14.472900999999998,3157.9987659999997,23.296878000000003,3698.526564,6.882164999999999,2657.388023,28.430858999999998,28.96029,503.547203,29.312651,776.927311,234.111902,204.569726,1264.182568,8.280491999999999,592.4220439999999,907.6736510000001,1021.592594,464.478069,12.186245,0.712212,912.5902289999999,661.596617,3.753298
CAD,158101.444267,12.973956999999999,19.497413,884.81943,0.367606,1240.95029,0.0,5.43795,1216.081054,596.567528,331.979476,92.226115,1458.778495,11698.368958000001,6774.454113,75.852459,62.12373,579.171278,1032.4636580000001,19.984036000000003,77.046997,5418.533475,27.253249,2108.0271869999997,1.481398,4063.842416,17.492117999999998,82.928859,1090.699172,224.614641,1037.670094,196.847814,330.553166,8.381044,3.502746,507.507108,521.47104,510.29902899999996,482.91193300000003,20.629575,2.127309,20.398697999999996,300.74231299999997,9.306008
CDF,38.213460000000005,0.0,0.0,1.3238940000000001,1.142663,9.141490000000001,5.43795,0.0,65.765005,0.47952300000000003,0.060739,0.045645,0.005824,9.049204,8.495436999999999,0.159435,0.023554,0.062913,1.964925,0.0,0.0,28.87247,51.303331,6.612577,0.10707900000000001,0.021189,0.216223,0.0,2.7720779999999996,1.451406,0.0,0.0,0.0,0.0,0.000512,0.0,1.112746,0.007412,5.285993,370.40504400000003,59.971729,2.31061,593.868294,159.49045
CHF,14254.723659,10.130766000000001,29.777171999999997,1111.4807819999999,10.473436000000001,1363.793542,1216.081054,65.765005,0.0,279.825334,304.003355,1128.970032,118.480695,70369.722037,8754.380594999999,302.892146,10.107636,117.761459,9701.366775,21.908744,2.718189,3050.415867,33.881602,780.9324270000001,19.864915,676.746844,24.637598,0.722462,537.1704010000001,111.482091,1681.442682,154.14313199999998,976.030253,8.326739,53.00231099999999,1081.416175,2194.452455,3632.988524,1325.85853,239.53427900000003,29.164877,83.60965,646.472664,958.4536850000001
CLP,7656.201558999999,0.16836800000000002,0.01302,424.58506800000004,0.0,2026.054761,596.567528,0.47952300000000003,279.825334,0.0,839.1651280000001,15.921016999999999,0.970315,4845.582171,374.061558,4.142771,56.472269,90.86645,833.8307499999999,3.127777,2.342905,2572.053044,2.045081,1805.6692639999999,0.461881,843.787969,0.065949,4.481356,58.105719,25.461475,1091.995138,14.550072,43.95307,162.35001,0.420964,140.96996,28.857004,260.330535,143.544491,0.109995,0.024765,82.898578,68.521976,2.9493389999999997
