currency,USD,ALL,AMD,AUD,BIF,BRL,CAD,CDF,CHF,CLP,COP,CZK,DZD,EUR,GBP,GHS,GTQ,IDR,INR,ISK,JMD,JPY,KES,KRW,MUR,MXN,MZN,NIO,NOK,NZD,PEN,PHP,PLN,PYG,RSD,SEK,SGD,THB,TRY,TZS,UGX,UYU,ZAR,ZMW
USD,0.0,0.0007871504381560664,0.0004368100293501161,0.00128501160421057,1.3615490321986546e-07,0.005838288040309579,0.00026778361811403886,0.0009197240721719893,0.0008963386477348057,0.0010368655045921338,0.002835055173429763,0.0021916022612374357,0.00015886522606500613,0.0007542304585391446,0.0005506246468664818,8.757368458803716e-05,3.1251786828e-05,0.002463830500676855,0.00031127731619252837,0.002335833288095974,0.002489048517680864,0.0003917958409053975,0.00017445439306235116,0.0006136598336225248,0.00011698161289778024,0.0020297517933651247,0.015908056087957697,4.877134921531984e-07,0.0017233053979554358,0.0012387786004543432,0.00013956883814756396,0.00011001225782302759,0.002303401453330472,0.0009312847900763399,0.0007873105981435024,0.001442039313981064,0.0001581501589126665,0.000806361814987114,0.005226052495888648,8.006684275879545e-07,0.00016611137405246623,0.000550024638717172,0.0023835408332891672,0.0013957241152185039
ALL,0.0007871504381560664,0.0,0.001342391616096632,0.000571553856076893,0.0007947678467781199,0.004829915006392128,0.0003612768642534017,0.0024709551991759326,0.00016820469127606474,0.0011199014374689462,0.002366722163830214,0.0007040809545588913,0.0010441389618207593,3.534204094059689e-05,0.0006394767849837023,0.001049869487193441,0.0008740096790322721,0.002465249244672117,0.0010369755326174665,0.001487893906678132,0.003394161852685793,0.0005646883478659902,0.001251681154753592,0.0007814809216205343,0.0004987418024283958,0.0015900836410491644,0.01786541655777266,0.000807061121000342,0.0005311845137164145,0.0008910884578130064,0.0009883444239312932,0.0004502715690125809,0.0005878268519046671,0.0026031124173121097,4.675117894908324e-05,0.000250446158132881,0.00034418922344962334,0.0007178478765377735,0.0053140162604289965,0.0008069140017092633,0.0004934440343658246,0.0004314337027598845,0.002680523314967214,0.0024527959338812035
AMD,0.0004368100293501161,0.001342391616096632,0.0,0.0016407463158559334,0.00044060228918181576,0.00716695728690745,0.0007886089172881391,0.0019422393441125068,0.0015135069466548398,0.0013804884641094059,0.004032272539589331,0.002777230021932159,0.0002786886722207702,0.0013457145227008618,0.0011921837121947243,0.0006786169683136571,0.00042831903062590104,0.002361993610415681,0.0008559651139949291,0.003592208330895033,0.003601394739109541,0.0009226146248824138,0.0002960716588154053,0.0014204504358421095,0.0007576285221268979,0.002229681946848381,0.015088237668929564,0.00043972140853893127,0.002105435559890729,0.0018663849047001828,0.0007051401200216796,0.0004968700697672755,0.00279561035924032,0.0016816715630430638,0.0014180183108905729,0.001926523073919506,0.0006169982649577289,0.0013185686960809574,0.006424836505200827,0.00044477499352803734,0.0006653631923041223,0.0008972943497719873,0.003093787527797806,0.001573213697405964
AUD,0.00128501160421057,0.000571553856076893,0.0016407463158559334,0.0,0.0012878138890291349,0.004406732311458075,0.0006782794768848837,0.003456034326727714,0.0008898513335304039,0.0006369940818350549,0.0015406627903755965,0.0009269407974654576,0.001715362667556408,0.0006099887729537927,0.0011355107079287267,0.0017305857947800415,0.0013131395245488337,0.00163507769245992,0.0013241404942924105,0.001531393975311182,0.003207965122768335,0.001137995540599805,0.001669140379355951,0.0016755894827926755,0.000986906662234107,0.0016099637206358043,0.020495880382564398,0.0013020400765977882,0.0003716981820766122,0.00036709777228623175,0.0014897932597017968,0.0010020709459518664,0.0010595895342790122,0.0032666541962387023,0.0005953727977320712,0.0005436705323295255,0.0008086672952764466,0.0006251479736459967,0.003600237472308374,0.0013158878185438468,0.00103717898371737,0.0007566796588037996,0.002632754510881922,0.0020511453626233184
BIF,1.3615490321986546e-07,0.0007947678467781199,0.00044060228918181576,0.0012878138890291349,0.0,0.005833365518002151,0.00026917799573425997,0.0009095742503119095,0.0009027772360646781,0.001035524833231108,0.002835001169021275,0.0021939491154226187,0.0001612399736041765,0.0007612685286618341,0.0005478757919296787,8.656534524039647e-05,2.902337850112947e-05,0.0024583791818709685,0.0003145869831151366,0.002330229902689392,0.002493793273689339,0.0003969747876696752,0.00017107494097618056,0.000617886011817488,0.00011853765695299138,0.0020337893136091437,0.015897648259732597,2.6951047786454437e-07,0.001725572734744161,0.001238736492489916,0.0001369696826422193,0.000115218380283807,0.0023086949717055247,0.0009160406601745776,0.0007943778714230835,0.0014496141283231838,0.0001598801501447461,0.0008045264332189723,0.005195712875299856,6.593584556865856e-07,0.00016664928550184514,0.000551297441197779,0.002378831950109722,0.0013934341706912
BRL,0.005838288040309579,0.004829915006392128,0.00716695728690745,0.004406732311458075,0.005833365518002151,0.0,0.004648849031165328,0.006569873952878665,0.004781438543558122,0.00421889907871366,0.003069450715126462,0.003833634938480596,0.006088176401081196,0.004386121452846911,0.005749825934187151,0.005645897671484059,0.006098647822762379,0.0063935117487053435,0.006773271654395982,0.0026284086976380017,0.0040962946680663465,0.005803203818847315,0.006070868784563493,0.004698964633290493,0.005372704600986772,0.0032132299649512766,0.02051986393018365,0.00585466379832549,0.004882178858278928,0.002921147391655569,0.005405015379963569,0.005449436947446871,0.003863684063565849,0.007180002511275167,0.004320339570817287,0.005112158895736322,0.004881151904330867,0.004685537800664066,0.007760412079957112,0.0058616784869749096,0.004743857703493733,0.0043660098800891965,0.0023436192298400774,0.006578562463228876
CAD,0.00026778361811403886,0.0003612768642534017,0.0007886089172881391,0.0006782794768848837,0.00026917799573425997,0.004648849031165328,0.0,0.0013895368219355307,0.0006506537774192982,0.0009277675842723952,0.0023427586778191943,0.0013027013076909628,0.0005140498290249201,0.00034368912413320425,0.0003887025920529757,0.0003607824838893215,0.00029859773111875343,0.0021953708946993267,0.0006458092055781418,0.0012859881432689927,0.0022379193154900496,0.0006297488369923852,0.0005286756779589218,0.0006894464754947116,0.00019215623836787478,0.0016100790496738726,0.016835196618918444,0.00027246273999583415,0.0008913060768031931,0.0007982580404218598,0.0005236293523592992,0.0002623317831674788,0.0013797320085931826,0.0013710269037057808,0.0003383786951755741,0.0008941341944798552,0.0001613244232653457,0.0006049019182080471,0.005062491926750747,0.00027432124735985347,0.0001696327595188505,0.00043952373152326225,0.0023964569637109434,0.0018483409148992878
CDF,0.0009197240721719893,0.0024709551991759326,0.0019422393441125068,0.003456034326727714,0.0009095742503119095,0.006569873952878665,0.0013895368219355307,0.0,0.0023903363478632346,0.0027656733722135865,0.004878839784937106,0.004071081755194729,0.0011376925898972194,0.0023056051561456195,0.0013851610118030067,0.0005737765466523021,0.0010020398008720366,0.004766521651553814,0.0014846171665225535,0.003266062767834773,0.0025931469545383526,0.00168153123856317,0.0009698186429405364,0.001447973367665349,0.0009705980730695746,0.003426863340534767,0.014984407055192911,0.0009002678879836075,0.003990695065796268,0.0030581304812805684,0.000795283330596724,0.0013372523696151756,0.004295859275174041,0.0005454728091764799,0.0023050398724687384,0.003768025142691309,0.0012744653552698517,0.0023097764934420693,0.0068014554099322146,0.0008779750198042513,0.0012800396081616532,0.0017092077091925865,0.003799773704633763,0.00360009725576224
CHF,0.0008963386477348057,0.00016820469127606474,0.0015135069466548398,0.0008898513335304039,0.0009027772360646781,0.004781438543558122,0.0006506537774192982,0.0023903363478632346,0.0,0.0012483209189965982,0.0026351715485044684,0.000811371135840564,0.0010701034290871254,0.00011239018641863788,0.000740092461145377,0.0011678793571762332,0.0010366311669890152,0.0028314933194444137,0.0011789249703193425,0.0020027583648184804,0.003641283355824384,0.00039341324203950466,0.0012806197604996023,0.0005662892704864353,0.0005398415645326707,0.0015124681684101186,0.01732911669748365,0.0009175904231994816,0.0009002450066347197,0.0009879196844477028,0.0009511316193573237,0.0004910420864750226,0.0007573976215824113,0.0028650611058047195,0.00014563365427636295,0.000366728580142119,0.00036715917827699965,0.0008494981792197195,0.005101082441558195,0.0009172972344303153,0.0006680850216466069,0.00032303163467399813,0.002550252359906446,0.0025926309531999255
CLP,0.0010368655045921338,0.0011199014374689462,0.0013804884641094059,0.0006369940818350549,0.001035524833231108,0.00421889907871366,0.0009277675842723952,0.0027656733722135865,0.0012483209189965982,0.0,0.0011301959855034758,0.0016633296904291933,0.0013580431285564812,0.0011487286559408486,0.001624790335855243,0.0014373524811021085,0.0010785936303450803,0.0015177931815453017,0.0015100729896197797,0.001963535043924056,0.0031776357920799926,0.000965161080951549,0.0011092594315393525,0.001441584626372621,0.0010271539407668523,0.0011253725881995849,0.016268762664993833,0.0010428252930651883,0.0010444367794093272,0.00062285334605875,0.0008516491913637876,0.000954205450597492,0.0019635202913459923,0.0024419563575378412,0.0012141281731879623,0.001180579237330762,0.0008031675745341112,0.0008454307258729402,0.004333620797978487,0.0010523119997197642,0.0009334799139923536,0.0007944793862992865,0.0015173779865303857,0.0012834769923377048
