source_currency,USD,ALL,AMD,AUD,BIF,BRL,CAD,CDF,CHF,CLP,COP,CZK,DZD,EUR,GBP,GHS,GTQ,IDR,INR,ISK,JMD,JPY,KES,KRW,MUR,MXN,MZN,NIO,NOK,NZD,PEN,PHP,PLN,PYG,RSD,SEK,SGD,THB,TRY,TZS,UGX,UYU,ZAR,ZMW
USD,0.0,16.02658825,23.365927499999998,8334.274741000001,2.12803025,13053.7295785,142931.6208925,75.555301,14050.5794745,6108.221207250001,6988.45242425,1441.95939075,1088.79054525,131161.671509,30063.2930795,297.4310615,2960.160893,5789.4887015,15361.370500250001,189.04015925,519.48035425,48370.74404325,275.79358900000005,28170.610003,85.39246475,134508.6958005,83.36180275000001,948.63214025,1954.6519940000003,1838.0080827499999,3812.0679867500003,4050.6253619999998,2133.383033,415.41439875,85.84036775000001,3746.3456535,13927.253807250001,8590.14481175,4384.14842125,63.57459875,30.039138750000006,412.931918,2838.73490725,25.54064
ALL,16.02658825,0.0,0.00546875,0.589215,0.0,11.57252125,3.78810275,0.0,14.053182750000001,0.09201625,0.1129635,12.686093750000001,2.97221925,1012.1180935,6.277288749999999,0.05240874999999999,0.02135,2.11596975,7.214983999999999,0.2007855,0.0003895,1.271627,0.0028455,6.12427125,0.0,0.5032497499999999,0.0,7.500000000000001e-05,0.5915984999999999,0.09637025,0.07581725,0.0011862499999999998,12.94715475,0.2212185,52.9261535,2.49116375,0.11146399999999998,1.6907955,86.88838975,0.0002445,0.0,0.03473325000000001,0.43895399999999996,0.000204
AMD,23.365927499999998,0.00546875,0.0,0.33450300000000005,0.0,9.309846,29.956356,0.0013375,15.6702205,0.14451400000000003,0.01445225,5.3791875,0.045142249999999995,204.07326824999998,4.704238999999999,0.0036915000000000003,0.0,0.6654447499999999,7.38936375,0.0,0.0007080000000000001,3.02822975,0.0054192500000000005,2.0819425,0.0,0.1630455,0.0,0.0,0.30263025,2.47995325,0.0,0.044081999999999996,18.546112,0.04953275,0.44170400000000004,2.6588010000000004,0.6683105,0.534259,0.20294774999999998,0.01996225,0.0,0.0,0.7165199999999999,0.0
AUD,8334.274741000001,0.589215,0.33450300000000005,0.0,0.0526225,275.65280299999995,679.68069925,0.887253,792.0278025,146.6279085,19.019004250000002,154.924169,12.14351575,7907.696842,2708.0086065,15.725688000000002,5.012930750000001,1798.8609312499998,2561.14680375,22.8878815,4.731841500000001,9693.805547749998,16.2151005,5291.81740225,21.179723250000002,355.61650999999995,76.59599025,1.6699465,76.3230955,2963.67846725,57.8704345,420.231142,190.9029375,0.89211475,2.3459225000000004,415.16904275,3576.5519525,3192.69297425,257.290297,10.05285925,1.16127725,2.2631637500000004,398.45393449999995,26.9313025
BIF,2.12803025,0.0,0.0,0.0526225,0.0,0.047670000000000004,0.28428725,0.8992322500000001,6.549691750000001,0.0,0.001286,0.031857250000000004,3.9e-05,27.509280750000002,1.8605947499999997,0.0024135,0.0,0.11751425,7.48210125,0.0,0.0,1.34480125,17.92576975,0.17108774999999998,0.02718475,0.0,0.0,0.0,0.0604595,0.0,0.0,0.01427525,0.033168,0.0,0.0,0.05123725,0.08876474999999998,0.1628185,0.49515275000000003,12.06842275,13.746247749999998,0.0,0.9558402500000001,1.5791825
BRL,13053.7295785,11.57252125,9.309846,275.65280299999995,0.047670000000000004,0.0,991.12793075,9.5563865,1149.4471945,1696.41650325,778.0008215,69.15416875,654.86320275,14494.408434,1436.0406524999999,85.243595,63.13152025,796.7637017500001,1325.51788025,43.64115150000001,14.16335325,2028.6137822499998,16.4794065,1870.9848324999998,9.498504500000001,1660.0890272499998,6.36282325,29.9142655,315.5080715,30.5880295,756.43464625,190.82102974999998,214.1563,1244.6936245000002,11.4788425,309.95491675000005,543.037171,782.67854675,457.29572475,3.6443842500000003,1.33254425,888.93419225,402.367868,1.42917375
CAD,142931.6208925,3.78810275,29.956356,679.68069925,0.28428725,991.12793075,0.0,14.2239235,1064.4677055,413.21186650000004,235.32749024999998,94.58006175,338.14790575,11125.19743425,4437.32267075,55.030834500000005,103.93259825,470.25307075,1317.6763435,24.96765575,69.78389100000001,3805.82534,27.58044425,2021.544155,4.21172925,3937.294251,7.949162750000001,18.571072,458.85146749999996,199.17364525,669.040309,236.89375224999998,422.45187275,4.59956575,8.4501045,363.44309124999995,447.81419624999995,490.31722475000004,379.00869075,12.259174,7.7878715,28.7359905,218.43080600000002,7.6131745
CDF,75.555301,0.0,0.0013375,0.887253,0.8992322500000001,9.5563865,14.2239235,0.0,107.486404,0.05344425,0.35753175,0.0495935,0.01012475,84.90577475,20.358841249999998,0.1019355,7.886275,4.66089275,105.2901435,0.0521505,0.0,13.029988,49.871789500000006,6.90152775,0.99932775,0.0113345,0.06126525,0.0,0.66380975,2.2543949999999997,0.0280545,0.000495,1.2499999999999999e-06,0.11610075,0.05974375,0.094422,102.294221,6.728288750000001,8.35876075,282.70954125,41.534473500000004,1.1697007500000003,928.33225625,251.75015325
CHF,14050.5794745,14.053182750000001,15.6702205,792.0278025,6.549691750000001,1149.4471945,1064.4677055,107.486404,0.0,192.70946775000002,221.35401125,979.28528675,99.11649675000001,58325.742631,12080.1207225,408.66037574999996,8.7447065,609.6606400000001,4743.554829000001,23.129682499999998,2.94841075,2373.887021,33.84128575,839.493381,20.143027250000003,683.0033645000001,5.84338775,1.6328127499999998,296.42190300000004,65.39925775,680.1026762500001,170.80039549999998,1026.22293025,7.966905,77.4031755,812.2635175,2306.0575365,1653.2508385,1511.2399717499998,122.84707850000001,11.96032975,75.95391325,678.3539025,766.395842
CLP,6108.221207250001,0.09201625,0.14451400000000003,146.6279085,0.0,1696.41650325,413.21186650000004,0.05344425,192.70946775000002,0.0,350.96514225000004,18.350004249999998,1.04413425,3596.70770625,338.26378650000004,2.22411425,54.912324,63.380454750000006,526.5331355000001,2.106934,3.256579,1616.1560637500002,2.0111482499999997,1345.14770475,0.1327725,776.9897705,1.07587125,9.28859275,47.060191,38.952352250000004,660.17698725,24.868204,46.431526,274.9846685,1.0500645,99.74227475,31.641014000000002,225.81511975,120.26425275,0.1267605,0.007648,61.14976,55.44263325,0.52932175
